"Email","URL","Gefallen","Kommentar"
"xyz@web.de","https://looirobot.com/products/looi-robot","4","OK."
"xyz@web.de","https://www.amazon.de/POWERUP-Papierflugzeug-integriertes-Hobbyflieger-begeisterten/dp/B08JLZVB3Z/ref=asc_df_B08JLZVB3Z?mcid=e0b6c409584533c69b3e37cbe158b004&th=1&psc=1&tag=googshopde-21&linkCode=df0&hvadid=696381503995&hvpos=&hvnetw=g&hvrand=1735607984154890986&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9041871&hvtargid=pla-989554933332&psc=1&gad_source=1","3","Der 1.0 hat nicht gut funktioniert ..."
"abc@web.de","https://looirobot.com/products/looi-robot","5","I love it!"
"xyz@web.de","https://eu.ember.com/de/products/ember-mug-2?variant=41371672969368&utm_source=google&campaign_id=21589997996&ad_id=&utm_medium=cpc&utm_campaign=DE-PMAX&utm_content=&utm_term=&gclid=Cj0KCQiAgdC6BhCgARIsAPWNWH34yA7bPpSKHd1vGptrjPJV19Vaeiupu33wB45nh2wwLuoqt6U8DYwaAj8UEALw_wcB&gad_source=1","2","Aber für 150€ zu teuer!!!"
"abc@web.de","https://eu.ember.com/de/products/ember-mug-2?variant=41371672969368&utm_source=google&campaign_id=21589997996&ad_id=&utm_medium=cpc&utm_campaign=DE-PMAX&utm_content=&utm_term=&gclid=Cj0KCQiAgdC6BhCgARIsAPWNWH34yA7bPpSKHd1vGptrjPJV19Vaeiupu33wB45nh2wwLuoqt6U8DYwaAj8UEALw_wcB&gad_source=1","3",
"john@freenet.de","https://www.amazon.de/Elgato-Stream-Deck-Neo-anpassbare/dp/B0CVY4566H/ref=asc_df_B0CVY4566H&th=1&psc=1?tag=googshopde-21&linkCode=df0&hvadid=696320509334&hvpos=&hvnetw=g&hvrand=4370547516953729383&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9041858&hvtargid=pla-2303207565101&psc=1&gad_source=1","2","Ein Muss für Niemanden."
"xyz@web.de","https://www.manufactum.de/rakete-a43809/?gad_source=1&gclid=Cj0KCQiAgdC6BhCgARIsAPWNWH1H47M9dVm_7uizPhKwQedPW6PuUKmLDrJ5SXZufNNuyyidt1nwOn0aAhbnEALw_wcB","4","Mir machte es Spaß!"
"xyz@web.de","https://tex-lock.com/","5","Verkratzt den Lack nicht."
"xyz@web.de","https://www.amazon.de/Elgato-Stream-Deck-Neo-anpassbare/dp/B0CVY4566H/ref=asc_df_B0CVY4566H&th=1&psc=1?tag=googshopde-21&linkCode=df0&hvadid=696320509334&hvpos=&hvnetw=g&hvrand=4370547516953729383&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9041858&hvtargid=pla-2303207565101&psc=1&gad_source=1","1","Völlig unnötig"
"xyz@web.de","at https://www.china-gadgets.de/kuehljacke-fuer-getraenke/","4","Sieht ja nett aus!"
"john@freenet.de","https://looirobot.com/products/looi-robot","4","Wiedermal einer der auf den KI-Hype aufspringt ;-)"
